State,RegionCode,RegionLabel,TotalArea,SoilEnhancerArea,SoilEnhancerVol
NSW AND ACT,9991,New South Wales and Australian Capital Territory,55438873.58,1242551.57,16799645.71
NSW AND ACT,101,Central Tablelands,1669440.87,65966.79,9843.07
NSW AND ACT,102,Central West,7298850.68,198025.24,315574.94
NSW AND ACT,104,Hunter,1177500.34,29662.02,1600380.12
NSW AND ACT,105,Murray,3248241.47,253817.04,415918.38
NSW AND ACT,106,North Coast,731742.94,54510.21,1066498.99
NSW AND ACT,108,North West NSW,6229509.71,117697.76,6922678.38
NSW AND ACT,111,South East NSW,1730235.41,78130.25,255285.79
VIC,9992,Victoria,10852481.49,822600.89,61183936.94
VIC,201,Corangamite,789056.14,78771.45,50883766.51
VIC,202,East Gippsland,250394.05,14483.29,3882.18
VIC,204,Goulburn Broken,1074790.00,95243.97,70855.39
VIC,205,Mallee,2170778.45,51549.00,284940.21
VIC,207,North East,656571.60,36260.56,5210830.32
VIC,208,Port Phillip and Western Port,275514.81,32723.13,1022158.96
VIC,209,West Gippsland,580641.57,71615.72,49679.39
QLD,9993,Queensland,137954588.50,407684.67,217841103.25
QLD,301,Burnett Mary,3353011.46,65021.13,18053618.91
QLD,303,Condamine,1599721.91,66343.57,44094.80
QLD,307,North Queensland Dry Tropics,12545909.08,48949.23,70248007.18
QLD,308,Northern Gulf,12503256.73,4475.27,23384.47
QLD,310,Reef Catchments,706846.65,75268.73,125314875.50
QLD,311,South East Queensland,988948.85,22745.93,177477.61
QLD,314,Terrain NRM,728289.30,38098.94,3956541.83
SA,9994,South Australia,49720452.60,339997.53,23984198.96
SA,407,South Australian Murray Darling Basin,3743889.94,36256.82,6846655.20
WA,9995,Western Australia,83770447.04,1662723.47,1658454.15
WA,506,South West,1961749.13,150649.36,54381.66
WA,507,Wheatbelt,7691794.42,596970.07,175868.91
TAS,9996,Tasmania,1480287.39,120972.83,3790895.79
TAS,601,Cradle Coast,270336.31,78912.31,2078899.36
TAS,602,North,686789.98,33342.14,1701361.02
TAS,603,South,523161.10,8718.38,10635.40
NT,9997,Northern Territory,54580046.46,8511.24,41138.91
NT,701,Northern Territory,54580046.46,8511.24,41138.91
,,,,,
